,Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
2144,2013-01-02,,3.0,4294.0,423.0,1.0,0.0,0,1.0,,,,,,,,,
2153,2013-01-02,,3.0,5191.0,625.0,1.0,0.0,0,1.0,,,,,,,,,
2225,2013-01-02,,3.0,7363.0,774.0,1.0,0.0,0,1.0,,,,,,,,,
2312,2013-01-03,,4.0,6913.0,769.0,1.0,0.0,0,1.0,,,,,,,,,
2356,2013-01-03,,4.0,,707.0,1.0,0.0,0,1.0,,,,,,,,,
2364,2013-01-03,,4.0,5557.0,495.0,1.0,0.0,0,,,,,,,,,,
2391,2013-01-03,,4.0,4440.0,410.0,1.0,0.0,0,1.0,,,,,,,,,
2439,2013-01-03,,4.0,7856.0,687.0,1.0,0.0,0,1.0,,,,,,,,,
2443,2013-01-03,,4.0,11559.0,1440.0,1.0,0.0,0,0.0,,,,,,,,,
2463,2013-01-03,,4.0,5741.0,609.0,1.0,0.0,0,1.0,,,,,,,,,
2480,2013-01-03,,4.0,5697.0,423.0,1.0,0.0,0,1.0,,,,,,,,,
2545,2013-01-03,,4.0,3398.0,,1.0,0.0,0,1.0,,,,,,,,,
2558,2013-01-03,,4.0,4953.0,576.0,1.0,0.0,0,1.0,,,,,,,,,
2564,2013-01-03,,4.0,4829.0,644.0,1.0,0.0,0,1.0,,,,,,,,,
2591,2013-01-03,,4.0,5102.0,768.0,1.0,0.0,0,1.0,,,,,,,,,
2604,2013-01-03,,4.0,7375.0,1123.0,1.0,0.0,0,1.0,,,,,,,,,
2642,2013-01-03,,4.0,4622.0,379.0,1.0,0.0,0,1.0,,,,,,,,,
2664,2013-01-03,,4.0,2027.0,243.0,1.0,0.0,0,1.0,,,,,,,,,
2705,2013-01-03,,4.0,5972.0,894.0,1.0,,0,1.0,,,,,,,,,
2722,2013-01-03,,4.0,2816.0,340.0,1.0,0.0,,1.0,,,,,,,,,
2768,2013-01-03,,4.0,8296.0,826.0,1.0,0.0,0,1.0,,,,,,,,,
2802,2013-01-03,,4.0,3894.0,421.0,1.0,0.0,0,1.0,,,,,,,,,
2806,2013-01-03,,4.0,8631.0,866.0,1.0,0.0,0,1.0,,,,,,,,,
2814,2013-01-03,,4.0,4442.0,597.0,1.0,0.0,0,1.0,,,,,,,,,
2829,2013-01-03,,4.0,8970.0,1079.0,1.0,0.0,0,1.0,,,,,,,,,
2855,2013-01-03,,4.0,5008.0,727.0,1.0,0.0,0,1.0,,,,,,,,,
2930,2013-01-03,,4.0,,485.0,1.0,0.0,0,1.0,,,,,,,,,
2945,2013-01-03,,4.0,6179.0,447.0,1.0,0.0,0,1.0,,,,,,,,,
2960,2013-01-03,,,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,
3020,2013-01-03,,,6827.0,640.0,1.0,0.0,0,1.0,,,,,,,,,
3021,2013-01-03,,4.0,6164.0,721.0,1.0,0.0,0,1.0,,,,,,,,,
3071,2013-01-03,,4.0,4337.0,438.0,1.0,0.0,0,1.0,,,,,,,,,
3082,2013-01-03,,4.0,8234.0,1018.0,1.0,,0,1.0,,,,,,,,,
3115,2013-01-03,,4.0,2262.0,,1.0,0.0,0,1.0,,,,,,,,,
3147,2013-01-03,,4.0,6407.0,672.0,1.0,0.0,0,1.0,,,,,,,,,
3207,2013-01-03,,4.0,7164.0,973.0,1.0,0.0,0,0.0,,,,,,,,,
3208,2013-01-03,,4.0,2668.0,302.0,1.0,0.0,0,1.0,,,,,,,,,
3231,2013-01-03,,4.0,4645.0,678.0,1.0,0.0,0,1.0,,,,,,,,,
3234,2013-01-03,,4.0,4600.0,710.0,1.0,0.0,0,1.0,,,,,,,,,
3282,2013-01-03,,4.0,5942.0,673.0,1.0,0.0,0,1.0,,,,,,,,,
3289,2013-01-03,,4.0,3637.0,,1.0,0.0,0,1.0,,,,,,,,,
3310,2013-01-03,,4.0,7445.0,973.0,1.0,0.0,0,1.0,,,,,,,,,
3342,2013-01-03,,4.0,3972.0,372.0,1.0,0.0,0,1.0,,,,,,,,,
3370,2013-01-04,,5.0,8312.0,717.0,1.0,0.0,0,1.0,,,,,,,,,
3389,2013-01-04,,5.0,3633.0,447.0,1.0,0.0,0,1.0,,,,,,,,,
3409,2013-01-04,,5.0,6190.0,689.0,1.0,0.0,0,1.0,,,,,,,,,
3447,2013-01-04,,5.0,4134.0,464.0,1.0,0.0,0,1.0,,,,,,,,,
3524,2013-01-04,,5.0,4870.0,542.0,1.0,0.0,0,1.0,,,,,,,,,
3547,2013-01-04,,5.0,4300.0,,,0.0,0,1.0,,,,,,,,,
3594,2013-01-04,,5.0,10318.0,1332.0,1.0,0.0,0,1.0,,,,,,,,,
3601,2013-01-04,,5.0,4696.0,688.0,1.0,0.0,0,1.0,,,,,,,,,
3733,2013-01-04,,5.0,5916.0,589.0,1.0,0.0,0,0.0,,,,,,,,,
3754,2013-01-04,,5.0,,560.0,,0.0,0,1.0,,,,,,,,,
3830,2013-01-04,,5.0,5960.0,641.0,1.0,0.0,0,0.0,,,,,,,,,
3838,2013-01-04,,5.0,5309.0,786.0,1.0,0.0,,1.0,,,,,,,,,
3887,2013-01-04,,5.0,9339.0,912.0,1.0,0.0,0,0.0,,,,,,,,,
3926,2013-01-04,,5.0,3177.0,430.0,1.0,0.0,0,1.0,,,,,,,,,
3936,2013-01-04,,5.0,5604.0,456.0,1.0,0.0,0,1.0,,,,,,,,,
3938,2013-01-04,,5.0,3461.0,569.0,1.0,0.0,0,1.0,,,,,,,,,
3966,2013-01-04,,5.0,3424.0,497.0,1.0,0.0,0,1.0,,,,,,,,,
3967,2013-01-04,,5.0,6318.0,749.0,1.0,0.0,0,1.0,,,,,,,,,
4107,2013-01-04,,5.0,6430.0,1799.0,1.0,0.0,0,1.0,,,,,,,,,
4157,2013-01-04,,5.0,5421.0,512.0,1.0,0.0,0,1.0,,,,,,,,,
4184,2013-01-04,,5.0,4841.0,592.0,1.0,0.0,0,1.0,,,,,,,,,
4200,2013-01-04,,5.0,5874.0,739.0,1.0,0.0,0,1.0,,,,,,,,,
4284,2013-01-04,,5.0,4366.0,621.0,1.0,0.0,0,1.0,,,,,,,,,
4291,2013-01-04,,5.0,3675.0,399.0,1.0,0.0,0,1.0,,,,,,,,,
4319,2013-01-04,,5.0,5720.0,607.0,1.0,0.0,0,1.0,,,,,,,,,
4329,2013-01-04,,5.0,3057.0,334.0,1.0,0.0,0,1.0,,,,,,,,,
4363,2013-01-04,,5.0,4025.0,545.0,1.0,0.0,0,1.0,,,,,,,,,
4423,2013-01-04,,5.0,5103.0,491.0,1.0,0.0,0,1.0,,,,,,,,,
4436,2013-01-04,,5.0,10748.0,930.0,1.0,0.0,0,1.0,,,,,,,,,
4482,2013-01-05,,6.0,5146.0,434.0,1.0,0.0,0,0.0,,,,,,,,,
4494,2013-01-05,,6.0,4340.0,496.0,1.0,0.0,,0.0,,,,,,,,,
4499,2013-01-05,,6.0,4678.0,517.0,1.0,0.0,0,0.0,,,,,,,,,
4520,2013-01-05,,6.0,7689.0,660.0,1.0,0.0,0,1.0,,,,,,,,,
4549,2013-01-05,,6.0,5719.0,582.0,1.0,0.0,0,0.0,,,,,,,,,
4575,2013-01-05,,6.0,7688.0,1054.0,1.0,0.0,0,0.0,,,,,,,,,
4577,2013-01-05,,6.0,4437.0,630.0,1.0,0.0,0,0.0,,,,,,,,,
4606,2013-01-05,,6.0,5240.0,,1.0,0.0,0,0.0,,,,,,,,,
4613,2013-01-05,,6.0,5950.0,904.0,1.0,0.0,0,0.0,,,,,,,,,
4708,2013-01-05,,6.0,5261.0,700.0,1.0,0.0,0,0.0,,,,,,,,,
4948,2013-01-05,,6.0,7771.0,774.0,1.0,0.0,0,0.0,,,,,,,,,
5026,2013-01-05,,6.0,7917.0,1384.0,1.0,0.0,0,0.0,,,,,,,,,
5085,2013-01-05,,6.0,5481.0,814.0,1.0,0.0,0,,,,,,,,,,
5104,2013-01-05,,6.0,2924.0,399.0,1.0,0.0,0,0.0,,,,,,,,,
5110,2013-01-05,,6.0,5908.0,687.0,1.0,0.0,0,0.0,,,,,,,,,
5112,2013-01-05,,6.0,6543.0,1070.0,1.0,0.0,0,0.0,,,,,,,,,
5124,2013-01-05,,6.0,,568.0,1.0,0.0,0,0.0,,,,,,,,,
5128,2013-01-05,,6.0,1870.0,212.0,,0.0,0,0.0,,,,,,,,,
5131,2013-01-05,,6.0,8134.0,836.0,,0.0,0,0.0,,,,,,,,,
5156,2013-01-05,,6.0,5498.0,812.0,1.0,0.0,0,0.0,,,,,,,,,
5297,2013-01-05,,6.0,3002.0,373.0,1.0,0.0,0,1.0,,,,,,,,,
5309,2013-01-05,,6.0,4359.0,592.0,1.0,0.0,0,0.0,,,,,,,,,
5391,2013-01-05,,6.0,5630.0,478.0,1.0,0.0,0,0.0,,,,,,,,,
5413,2013-01-05,,6.0,5921.0,415.0,1.0,0.0,0,0.0,,,,,,,,,
5439,2013-01-05,,6.0,3785.0,354.0,1.0,0.0,0,0.0,,,,,,,,,
5468,2013-01-05,,6.0,7655.0,589.0,1.0,0.0,0,0.0,,,,,,,,,
5484,2013-01-05,,6.0,6961.0,706.0,1.0,0.0,0,0.0,,,,,,,,,
5561,2013-01-05,,6.0,4533.0,421.0,1.0,0.0,0,0.0,,,,,,,,,
5742,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,
5748,2013-01-06,,7.0,0.0,0.0,0.0,0.0,a,0.0,,,,,,,,,
5757,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5797,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5839,2013-01-06,,7.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,
5841,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5859,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5928,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5944,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
5963,2013-01-06,,7.0,0.0,0.0,,0.0,0,0.0,,,,,,,,,
5980,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6048,2013-01-06,,7.0,0.0,0.0,0.0,,0,0.0,,,,,,,,,
6068,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6097,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6220,2013-01-06,,,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6235,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6282,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6320,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6409,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6422,2013-01-06,,7.0,0.0,0.0,0.0,0.0,a,0.0,,,,,,,,,
6636,2013-01-06,,7.0,0.0,0.0,0.0,0.0,a,0.0,,,,,,,,,
6678,2013-01-06,,7.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
6720,2013-01-07,,1.0,12125.0,914.0,1.0,1.0,0,0.0,,,,,,,,,
6732,2013-01-07,,1.0,5250.0,376.0,1.0,1.0,0,0.0,,,,,,,,,
6746,2013-01-07,,1.0,20709.0,2527.0,1.0,1.0,0,1.0,,,,,,,,,
6833,2013-01-07,,1.0,10237.0,767.0,1.0,1.0,0,0.0,,,,,,,,,
6922,2013-01-07,,1.0,,915.0,1.0,1.0,0,0.0,,,,,,,,,
6949,2013-01-07,,1.0,17258.0,1954.0,1.0,1.0,0,0.0,,,,,,,,,
6967,2013-01-07,,1.0,8815.0,654.0,1.0,1.0,0,0.0,,,,,,,,,
7095,2013-01-07,,1.0,6735.0,774.0,1.0,1.0,0,0.0,,,,,,,,,
7107,2013-01-07,,1.0,9301.0,689.0,1.0,1.0,0,0.0,,,,,,,,,
7145,2013-01-07,,1.0,1935.0,561.0,1.0,1.0,0,1.0,,,,,,,,,
7163,2013-01-07,,1.0,6757.0,683.0,1.0,1.0,0,0.0,,,,,,,,,
7180,2013-01-07,,1.0,11768.0,955.0,1.0,1.0,0,0.0,,,,,,,,,
7208,2013-01-07,,1.0,10597.0,885.0,1.0,1.0,0,1.0,,,,,,,,,
7279,2013-01-07,,1.0,7566.0,734.0,1.0,1.0,0,0.0,,,,,,,,,
7298,2013-01-07,,1.0,7404.0,858.0,1.0,1.0,0,0.0,,,,,,,,,
7364,2013-01-07,,1.0,8539.0,1061.0,1.0,1.0,0,0.0,,,,,,,,,
7370,2013-01-07,,1.0,15388.0,1499.0,1.0,1.0,0,0.0,,,,,,,,,
7390,2013-01-07,,1.0,7423.0,687.0,1.0,1.0,0,0.0,,,,,,,,,
7395,2013-01-07,,1.0,10305.0,851.0,1.0,1.0,0,0.0,,,,,,,,,
7408,2013-01-07,,1.0,8981.0,883.0,1.0,1.0,0,0.0,,,,,,,,,
7426,2013-01-07,,1.0,9444.0,735.0,1.0,1.0,0,0.0,,,,,,,,,
7437,2013-01-07,,1.0,10270.0,1064.0,1.0,1.0,0,0.0,,,,,,,,,
7439,2013-01-07,,1.0,11887.0,1073.0,1.0,1.0,0,0.0,,,,,,,,,
7451,2013-01-07,,1.0,8426.0,2190.0,1.0,1.0,,0.0,,,,,,,,,
7506,2013-01-07,,1.0,9284.0,667.0,1.0,1.0,0,0.0,,,,,,,,,
7550,2013-01-07,,1.0,14696.0,1141.0,1.0,1.0,0,0.0,,,,,,,,,
7552,2013-01-07,,1.0,7918.0,717.0,1.0,1.0,0,0.0,,,,,,,,,
7622,2013-01-07,,1.0,3990.0,351.0,1.0,1.0,0,1.0,,,,,,,,,
7644,2013-01-07,,1.0,,1228.0,1.0,1.0,0,0.0,,,,,,,,,
7652,2013-01-07,,1.0,,1009.0,1.0,1.0,0,0.0,,,,,,,,,
7694,2013-01-07,,1.0,10614.0,1123.0,1.0,1.0,,0.0,,,,,,,,,
7709,2013-01-07,,1.0,8155.0,866.0,1.0,1.0,,0.0,,,,,,,,,
7744,2013-01-07,,1.0,6020.0,561.0,1.0,1.0,0,1.0,,,,,,,,,
7746,2013-01-07,,1.0,9343.0,879.0,1.0,1.0,0,0.0,,,,,,,,,
7786,2013-01-07,,1.0,6797.0,828.0,1.0,1.0,0,0.0,,,,,,,,,
7792,2013-01-07,,1.0,11122.0,839.0,1.0,1.0,,0.0,,,,,,,,,
7836,2013-01-08,,2.0,6329.0,587.0,1.0,1.0,0,0.0,,,,,,,,,
7855,2013-01-08,,2.0,7797.0,671.0,1.0,1.0,0,0.0,,,,,,,,,
7873,2013-01-08,,2.0,7025.0,755.0,1.0,1.0,0,1.0,,,,,,,,,
7885,2013-01-08,,2.0,4836.0,491.0,1.0,1.0,0,0.0,,,,,,,,,
7922,2013-01-08,,2.0,12172.0,1393.0,1.0,1.0,0,0.0,,,,,,,,,
7945,2013-01-08,,2.0,6825.0,516.0,1.0,1.0,0,,,,,,,,,,
7984,2013-01-08,,2.0,4821.0,540.0,1.0,1.0,0,0.0,,,,,,,,,
8034,2013-01-08,,2.0,6587.0,710.0,1.0,1.0,0,0.0,,,,,,,,,
8062,2013-01-08,,2.0,8215.0,634.0,1.0,1.0,0,0.0,,,,,,,,,
8123,2013-01-08,,2.0,6329.0,646.0,1.0,1.0,0,,,,,,,,,,
8126,2013-01-08,,2.0,6465.0,489.0,,1.0,0,1.0,,,,,,,,,
8188,2013-01-08,,2.0,6431.0,523.0,1.0,1.0,0,0.0,,,,,,,,,
8190,2013-01-08,,2.0,8735.0,692.0,1.0,1.0,0,0.0,,,,,,,,,
8235,2013-01-08,,2.0,9064.0,748.0,1.0,1.0,0,0.0,,,,,,,,,
8313,2013-01-08,,2.0,8065.0,715.0,1.0,1.0,,0.0,,,,,,,,,
8330,2013-01-08,,2.0,6537.0,617.0,1.0,1.0,0,0.0,,,,,,,,,
8362,2013-01-08,,2.0,7918.0,998.0,1.0,1.0,0,0.0,,,,,,,,,
8365,2013-01-08,,2.0,9939.0,956.0,1.0,1.0,0,0.0,,,,,,,,,
8383,2013-01-08,,2.0,5988.0,623.0,1.0,1.0,0,0.0,,,,,,,,,
8427,2013-01-08,,2.0,5437.0,726.0,1.0,,0,0.0,,,,,,,,,
8451,2013-01-08,,2.0,10168.0,1172.0,1.0,1.0,0,0.0,,,,,,,,,
8474,2013-01-08,,2.0,7961.0,789.0,1.0,1.0,0,0.0,,,,,,,,,
8589,2013-01-08,,2.0,8635.0,671.0,1.0,1.0,0,0.0,,,,,,,,,
8595,2013-01-08,,2.0,9307.0,1063.0,1.0,1.0,0,0.0,,,,,,,,,
8596,2013-01-08,,2.0,12743.0,1495.0,1.0,1.0,0,0.0,,,,,,,,,
8604,2013-01-08,,2.0,5843.0,605.0,1.0,1.0,0,0.0,,,,,,,,,
8605,2013-01-08,,2.0,6043.0,482.0,1.0,1.0,0,0.0,,,,,,,,,
8608,2013-01-08,,2.0,7786.0,992.0,1.0,1.0,0,0.0,,,,,,,,,
8615,2013-01-08,,2.0,6894.0,901.0,1.0,1.0,0,0.0,,,,,,,,,
8646,2013-01-08,,2.0,3418.0,393.0,1.0,1.0,,1.0,,,,,,,,,
8652,2013-01-08,,2.0,7166.0,735.0,1.0,1.0,0,0.0,,,,,,,,,
8665,2013-01-08,,2.0,6753.0,583.0,1.0,1.0,0,1.0,,,,,,,,,
8669,2013-01-08,,2.0,13044.0,886.0,1.0,1.0,0,0.0,,,,,,,,,
8670,2013-01-08,,2.0,,750.0,1.0,1.0,0,0.0,,,,,,,,,
8698,2013-01-08,,2.0,3910.0,323.0,1.0,1.0,,0.0,,,,,,,,,
8728,2013-01-08,,,5380.0,401.0,1.0,1.0,0,0.0,,,,,,,,,
8761,2013-01-08,,2.0,5468.0,662.0,1.0,1.0,0,0.0,,,,,,,,,
8795,2013-01-08,,2.0,19143.0,1834.0,1.0,1.0,0,0.0,,,,,,,,,
8852,2013-01-08,,2.0,11824.0,1132.0,1.0,1.0,0,0.0,,,,,,,,,
8883,2013-01-08,,2.0,1956.0,256.0,1.0,1.0,0,0.0,,,,,,,,,
8885,2013-01-08,,2.0,6379.0,635.0,1.0,1.0,0,0.0,,,,,,,,,
8886,2013-01-08,,2.0,6644.0,642.0,1.0,1.0,0,0.0,,,,,,,,,
8910,2013-01-08,,2.0,8418.0,902.0,1.0,1.0,0,0.0,,,,,,,,,
8915,2013-01-08,,2.0,8969.0,746.0,1.0,1.0,0,0.0,,,,,,,,,
9080,2013-01-09,,3.0,5519.0,362.0,1.0,1.0,0,0.0,,,,,,,,,
9081,2013-01-09,,3.0,5300.0,394.0,1.0,1.0,0,0.0,,,,,,,,,
9112,2013-01-09,,,9564.0,855.0,1.0,1.0,0,0.0,,,,,,,,,
9123,2013-01-09,,3.0,4084.0,592.0,1.0,1.0,0,0.0,,,,,,,,,
9175,2013-01-09,,3.0,3561.0,474.0,1.0,1.0,0,0.0,,,,,,,,,
9267,2013-01-09,,3.0,8946.0,887.0,1.0,1.0,0,0.0,,,,,,,,,
9304,2013-01-09,,3.0,4716.0,,1.0,1.0,0,0.0,,,,,,,,,
9323,2013-01-09,,3.0,4154.0,587.0,1.0,1.0,0,0.0,,,,,,,,,
9455,2013-01-09,,3.0,4403.0,399.0,1.0,1.0,0,0.0,,,,,,,,,
9462,2013-01-09,,3.0,10342.0,984.0,1.0,1.0,0,0.0,,,,,,,,,
9484,2013-01-09,,3.0,7828.0,1022.0,1.0,1.0,0,0.0,,,,,,,,,
9486,2013-01-09,,3.0,2898.0,323.0,,1.0,0,0.0,,,,,,,,,
9512,2013-01-09,,3.0,13111.0,1657.0,1.0,1.0,0,0.0,,,,,,,,,
9553,2013-01-09,,3.0,5047.0,646.0,1.0,1.0,0,0.0,,,,,,,,,
9558,2013-01-09,,3.0,7092.0,669.0,1.0,1.0,0,,,,,,,,,,
9578,2013-01-09,,3.0,6131.0,924.0,1.0,1.0,0,0.0,,,,,,,,,
9594,2013-01-09,,3.0,8201.0,987.0,1.0,1.0,0,0.0,,,,,,,,,
9738,2013-01-09,,3.0,4031.0,532.0,,1.0,0,,,,,,,,,,
9792,2013-01-09,,3.0,5911.0,523.0,1.0,1.0,0,0.0,,,,,,,,,
9825,2013-01-09,,3.0,4708.0,508.0,1.0,1.0,0,1.0,,,,,,,,,
9833,2013-01-09,,3.0,4611.0,475.0,1.0,1.0,0,0.0,,,,,,,,,
9839,2013-01-09,,3.0,4845.0,582.0,1.0,1.0,0,0.0,,,,,,,,,
9919,2013-01-09,,3.0,6066.0,755.0,1.0,1.0,0,0.0,,,,,,,,,
9937,2013-01-09,,3.0,7724.0,666.0,1.0,1.0,0,0.0,,,,,,,,,
9938,2013-01-09,,3.0,5598.0,772.0,1.0,1.0,0,1.0,,,,,,,,,
9970,2013-01-09,,3.0,4541.0,459.0,1.0,1.0,0,1.0,,,,,,,,,
10065,2013-01-10,,4.0,8981.0,743.0,1.0,1.0,0,0.0,,,,,,,,,
10087,2013-01-10,,4.0,12398.0,1564.0,1.0,1.0,0,0.0,,,,,,,,,
10129,2013-01-10,,4.0,7527.0,757.0,1.0,1.0,0,0.0,,,,,,,,,
10163,2013-01-10,,4.0,7237.0,874.0,1.0,1.0,0,0.0,,,,,,,,,
10191,2013-01-10,,4.0,5356.0,487.0,1.0,1.0,0,0.0,,,,,,,,,
10196,2013-01-10,,,5905.0,,1.0,1.0,0,0.0,,,,,,,,,
10238,2013-01-10,,4.0,4455.0,641.0,1.0,1.0,0,0.0,,,,,,,,,
10300,2013-01-10,,4.0,4826.0,407.0,1.0,1.0,0,0.0,,,,,,,,,
10322,2013-01-10,,4.0,5239.0,649.0,1.0,1.0,0,0.0,,,,,,,,,
10374,2013-01-10,,4.0,5304.0,571.0,1.0,1.0,0,0.0,,,,,,,,,
10492,2013-01-10,,4.0,6622.0,676.0,1.0,1.0,0,1.0,,,,,,,,,
10561,2013-01-10,,4.0,5713.0,729.0,1.0,1.0,0,0.0,,,,,,,,,
